Date,Time,Crop_Type,Solar_Energy_Production_kWh,Temperature_C,Rainfall_mm,Soil_Moisture_Content,pH
7/1/2020,19:15:00,Lettuce,0.41,30.41,28.15,48.9,5.21
8/1/2020,7:15:00,Lettuce,0.61,31.51,27.59,50.95,6.48
8/1/2020,9:30:00,Lettuce,1.3,30.4,25.88,47.84,6.01
8/1/2020,12:00:00,Lettuce,4.41,31.79,24.51,44.37,6.02
8/1/2020,14:30:00,Lettuce,2.79,24.34,22.21,42.51,5.5
8/1/2020,16:45:00,Lettuce,1.82,28.64,26.45,41.66,5.89
8/1/2020,19:15:00,Lettuce,0.38,27.5,28.57,42.38,5.46
9/1/2020,7:15:00,Lettuce,0.53,25.1,22.13,50.97,5.91
9/1/2020,9:30:00,Lettuce,1.47,26.3,25.5,50.86,6.74
9/1/2020,12:00:00,Lettuce,3.84,31.67,21.67,41.76,5.57
9/1/2020,14:30:00,Lettuce,3.6,31.21,20.26,38.71,6.45
9/1/2020,16:45:00,Lettuce,1.34,27.47,24.59,49.92,6.05
9/1/2020,19:15:00,Lettuce,0.5,26.25,15.9,46.6,5.49
10/1/2020,7:15:00,Lettuce,0.28,29.14,13.56,48.19,5.71
10/1/2020,9:30:00,Lettuce,1.68,24.89,20.29,45.8,5.85
10/1/2020,12:00:00,Lettuce,3.87,27.51,20.33,37,6.64
10/1/2020,14:30:00,Lettuce,3.75,27.46,17.92,42.33,6.79
10/1/2020,16:45:00,Lettuce,1.14,29.6,19.07,47.12,5.56
10/1/2020,19:15:00,Lettuce,0.38,28.08,19.25,47.16,6
11/1/2020,7:15:00,Lettuce,0.34,26.69,26.68,46.79,5.48
11/1/2020,9:30:00,Lettuce,2.2,30.46,27.46,42.39,6.34
11/1/2020,12:00:00,Lettuce,3.51,28.18,12.21,42.59,5.66
11/1/2020,14:30:00,Lettuce,3.25,28.3,12.99,41.98,6.35
11/1/2020,16:45:00,Lettuce,1.23,24.31,16.4,42.37,5.22
11/1/2020,19:15:00,Lettuce,0.51,28.9,29.64,41.97,5.52
12/1/2020,7:15:00,Lettuce,0.8,27.97,15.03,45.15,5.98
12/1/2020,9:30:00,Lettuce,2.35,27.6,23.62,42.81,5.96
12/1/2020,12:00:00,Lettuce,4.68,25.44,18.38,41.88,5.71
12/1/2020,14:30:00,Lettuce,3.05,31.67,10.28,44.61,5.43
12/1/2020,16:45:00,Lettuce,1.17,23.96,10.31,44.82,6.28
12/1/2020,19:15:00,Lettuce,0.35,23.74,24.17,44.55,5.37
13/1/2020,7:15:00,Lettuce,0.5,24.91,17.28,44.49,5.27
13/1/2020,9:30:00,Lettuce,1.29,30.45,18.49,45.4,5.32
13/1/2020,12:00:00,Lettuce,4.3,29.83,12.83,41.98,6.06
13/1/2020,14:30:00,Lettuce,2.88,25.03,29.39,46.93,5.19
13/1/2020,16:45:00,Lettuce,0.91,23.14,27.84,48.71,5.81
13/1/2020,19:15:00,Lettuce,0.44,25.33,19.85,51.76,5.87
14/1/2020,7:15:00,Lettuce,0.5,30.7,25.66,48.17,5.45
14/1/2020,9:30:00,Lettuce,1.83,25.87,19.88,47.55,6.74
14/1/2020,12:00:00,Lettuce,3.26,24.5,21.62,41.64,5.47
14/1/2020,14:30:00,Lettuce,3.66,28.22,24.51,41.28,5.08
14/1/2020,16:45:00,Lettuce,1.14,23.68,12.3,45.23,5.42
14/1/2020,19:15:00,Lettuce,0.3,29.85,24.88,43.44,6.39
15/1/2020,7:15:00,Lettuce,0.29,23.89,14.9,49,5.54
15/1/2020,9:30:00,Lettuce,1.82,24.21,20.21,45.45,5.48
15/1/2020,12:00:00,Lettuce,4.2,27.93,27.62,43.89,6.19
15/1/2020,14:30:00,Lettuce,3.9,23.8,22.81,49.66,5.8
15/1/2020,16:45:00,Lettuce,1.36,23.01,23.01,41.79,5.83
15/1/2020,19:15:00,Lettuce,0.25,29.01,14.53,43,5.05
16/1/2020,7:15:00,Lettuce,0.46,31,26.22,38.84,6.24
16/1/2020,9:30:00,Lettuce,2.13,29.53,16.02,42.66,6.13
16/1/2020,12:00:00,Lettuce,4.41,31.74,19.88,47.15,6.24
16/1/2020,14:30:00,Lettuce,2.63,26.47,29.33,39.26,6.24
16/1/2020,16:45:00,Lettuce,1.79,23.8,25.55,45.51,6.54
16/1/2020,19:15:00,Lettuce,0.52,29.63,21.53,43.63,6.17
17/1/2020,7:15:00,Lettuce,0.28,26.3,12.12,52.11,5.03
17/1/2020,9:30:00,Lettuce,1.7,30.46,28.76,47.45,5.11
17/1/2020,12:00:00,Lettuce,4.46,31.14,25.28,50.09,6.68
17/1/2020,14:30:00,Lettuce,3.37,24.58,13.94,39.37,5.22
17/1/2020,16:45:00,Lettuce,1.61,29.82,16.15,44.52,5.09
17/1/2020,19:15:00,Lettuce,0.26,23.9,21.12,47.84,5.63
18/1/2020,7:15:00,Lettuce,0.31,26.61,22.72,46.96,6.92
18/1/2020,9:30:00,Lettuce,1.75,24.56,24.48,46.06,5.1
18/1/2020,12:00:00,Lettuce,4.69,31.63,10.29,44.57,5.82
18/1/2020,14:30:00,Lettuce,2.69,26.12,12.17,42.84,6.42
18/1/2020,16:45:00,Lettuce,1.41,29.14,12.12,49.23,5.25
18/1/2020,19:15:00,Lettuce,0.52,25.19,19.05,46.2,5.63
19/1/2020,7:15:00,Lettuce,0.69,29.04,29.35,50.68,6.33
19/1/2020,9:30:00,Lettuce,1.4,28.98,19.09,48.18,6.47
19/1/2020,12:00:00,Lettuce,3.43,31.18,22.64,43.11,6.54
19/1/2020,14:30:00,Lettuce,3.82,25.64,27.33,48.26,6.47
19/1/2020,16:45:00,Lettuce,1.96,28.03,17.35,42.54,6.6
19/1/2020,19:15:00,Lettuce,0.38,30.74,21.16,46.1,5.01
20/1/2020,7:15:00,Lettuce,0.55,31.75,29.8,44.22,5.01
20/1/2020,9:30:00,Lettuce,1.21,25.2,22.63,42.83,5.27
20/1/2020,12:00:00,Lettuce,4.31,24.28,23.87,48.01,6.6
20/1/2020,14:30:00,Lettuce,2.91,29.82,26.89,44.38,5.31
20/1/2020,16:45:00,Lettuce,0.94,23.38,17.58,48.85,6.67
20/1/2020,19:15:00,Lettuce,0.22,26.66,22.3,48.16,5.06
21/1/2020,7:15:00,Lettuce,0.76,28.43,23.75,45.67,6.42
21/1/2020,9:30:00,Lettuce,2.23,23.6,18.26,42.66,6.74
21/1/2020,12:00:00,Lettuce,3.42,31.69,21.94,47.24,6.68
21/1/2020,14:30:00,Lettuce,3.33,25.83,18.5,47.75,6.78
21/1/2020,16:45:00,Lettuce,1.79,27.75,22.95,43.43,6.19
21/1/2020,19:15:00,Lettuce,0.2,23.23,26.63,47.16,5.95
22/1/2020,7:15:00,Lettuce,0.54,28.68,23.94,48.17,6.89
22/1/2020,9:30:00,Lettuce,2.36,28.85,10.7,53.35,6.4
22/1/2020,12:00:00,Lettuce,3.29,30.53,26.91,47.67,6.47
22/1/2020,14:30:00,Lettuce,3.37,28.86,24,47.16,5.05
22/1/2020,16:45:00,Lettuce,0.95,26.82,18.5,42.7,6.6
22/1/2020,19:15:00,Lettuce,0.23,23.74,16.28,43,5.91
23/1/2020,7:15:00,Lettuce,0.27,29.11,27.31,48.77,6.44
23/1/2020,9:30:00,Lettuce,1.51,23.93,29.37,50.95,6.05
23/1/2020,12:00:00,Lettuce,3.44,23.9,13.62,46.06,6.83
23/1/2020,14:30:00,Lettuce,3.26,25.87,27.97,42.28,6.09
23/1/2020,16:45:00,Lettuce,0.98,28.61,21.96,49.56,6.89
23/1/2020,19:15:00,Lettuce,0.21,26.3,11.67,45.31,6.75
24/1/2020,7:15:00,Lettuce,0.73,23.23,20.82,43.95,6.58
24/1/2020,9:30:00,Lettuce,1.84,24.57,28.32,51.99,5
24/1/2020,12:00:00,Lettuce,3.72,30.78,14.43,40.34,5.35
24/1/2020,14:30:00,Lettuce,2.83,27.22,21.73,40.38,5.98
24/1/2020,16:45:00,Lettuce,0.91,27.58,29.2,44.33,5.92
24/1/2020,19:15:00,Lettuce,0.43,26.66,22.4,43.8,6.34
25/1/2020,7:15:00,Lettuce,0.5,30.97,27.34,44.26,5.94
25/1/2020,9:30:00,Lettuce,2.08,27.97,11.76,40.03,5.69
25/1/2020,12:00:00,Lettuce,3.44,25.06,23.2,44.18,6.88
25/1/2020,14:30:00,Lettuce,3.39,29.71,28.04,45.77,6.57
25/1/2020,16:45:00,Lettuce,1.88,28.79,16.96,43.73,5.53
25/1/2020,19:15:00,Lettuce,0.21,31.17,16.7,44.87,5.29
26/1/2020,7:15:00,Lettuce,0.67,29.34,10.53,50.28,6.84
26/1/2020,9:30:00,Lettuce,2.32,29.62,29.19,37.67,6.09
26/1/2020,12:00:00,Lettuce,3.67,31.27,10.21,54.51,5.73
26/1/2020,14:30:00,Lettuce,3.96,30.27,15.79,45.26,6.89
26/1/2020,16:45:00,Lettuce,1,30.74,14.41,36.66,5.7
26/1/2020,19:15:00,Lettuce,0.2,25.1,13.68,48.83,6.22
27/1/2020,7:15:00,Lettuce,0.65,30.27,21.29,45.8,5.04
27/1/2020,9:30:00,Lettuce,1.4,26.54,25.47,47.74,6.95
27/1/2020,12:00:00,Lettuce,3.42,31.98,27.38,47.29,6.15
27/1/2020,14:30:00,Lettuce,3.09,25.63,29.61,46.15,6.13
27/1/2020,16:45:00,Lettuce,1.81,31.5,15.87,40.08,6.59
27/1/2020,19:15:00,Lettuce,0.44,24.6,19.12,45.62,5.65
28/1/2020,7:15:00,Lettuce,0.59,30.12,10.51,45.24,5.33
28/1/2020,9:30:00,Lettuce,2.31,28.02,16.99,49.02,5.79
28/1/2020,12:00:00,Lettuce,4.67,28.53,28.86,41.73,5.5
28/1/2020,14:30:00,Lettuce,3.09,31.31,26.82,42.35,6.68
28/1/2020,16:45:00,Lettuce,1.02,25.77,27.19,48.51,6.6
28/1/2020,19:15:00,Lettuce,0.4,29.09,10.94,47.72,5.69
29/1/2020,7:15:00,Lettuce,0.57,26.31,23.5,43.74,5.6
29/1/2020,9:30:00,Lettuce,1.34,31.25,14.06,42.24,5.79
29/1/2020,12:00:00,Lettuce,3.41,24.71,15.88,41.71,6.49
29/1/2020,14:30:00,Lettuce,2.85,30.54,28.9,44.57,6.83
29/1/2020,16:45:00,Lettuce,1.66,25.35,11.19,52.28,6.61
29/1/2020,19:15:00,Lettuce,0.46,23.03,28.89,43.38,5.47
30/1/2020,7:15:00,Lettuce,0.38,30.25,15.24,45.95,5.94
30/1/2020,9:30:00,Lettuce,1.99,24.48,14.63,48.19,6.86
30/1/2020,12:00:00,Lettuce,4.34,27.05,26.05,44.8,6.47
30/1/2020,14:30:00,Lettuce,3.41,23.42,10.84,44.05,5.43
30/1/2020,16:45:00,Lettuce,0.87,27.75,20.09,48.68,6.07
30/1/2020,19:15:00,Lettuce,0.2,28.25,29.42,49.07,6.48
31/1/2020,7:15:00,Lettuce,0.66,24.1,19.47,49.37,5.55
31/1/2020,9:30:00,Lettuce,1.41,29.43,17.67,49.49,5.67
31/1/2020,12:00:00,Lettuce,3.22,28.59,26.77,44.56,5.42
31/1/2020,14:30:00,Lettuce,3.85,26.17,10.97,44.98,6.34
31/1/2020,16:45:00,Lettuce,1.58,24.11,11.9,41.43,5.15
31/1/2020,19:15:00,Lettuce,0.43,31.23,11.22,41.62,5.62
1/2/2020,7:15:00,Lettuce,0.25,25.51,24.72,45.72,5.17
1/2/2020,9:30:00,Lettuce,1.23,30.47,12.28,46.49,5.58
1/2/2020,12:00:00,Lettuce,4.6,28.11,28.94,45.23,6.81
1/2/2020,14:30:00,Lettuce,3.85,27.6,26.45,38.75,5.45
1/2/2020,16:45:00,Lettuce,0.87,29.71,19.44,48.11,6.85
1/2/2020,19:15:00,Lettuce,0.5,26.83,20.78,41.07,5.62
2/2/2020,7:15:00,Lettuce,0.59,28.33,10.87,40.97,6.76
2/2/2020,9:30:00,Lettuce,1.5,29.5,18.56,42.26,5.76
2/2/2020,12:00:00,Lettuce,4.56,27.91,11.35,45.37,6.57
2/2/2020,14:30:00,Lettuce,3.11,28.23,17.52,42.62,5.23
2/2/2020,16:45:00,Lettuce,1.96,28.34,24.3,42.11,5.19
2/2/2020,19:15:00,Lettuce,0.49,27.93,22.16,37.81,5.05
3/2/2020,7:15:00,Lettuce,0.47,25.62,29.53,48.62,5.15
3/2/2020,9:30:00,Lettuce,2.04,29.22,17.05,44.93,5.57
3/2/2020,12:00:00,Lettuce,3.57,28.81,20.53,45.76,6.2
3/2/2020,14:30:00,Lettuce,2.99,26.5,14.92,45.36,6.09
3/2/2020,16:45:00,Lettuce,0.99,26.48,24.92,44.08,6.97
3/2/2020,19:15:00,Lettuce,0.26,30.43,20.02,48.93,6.44
4/2/2020,7:15:00,Lettuce,0.55,29.64,11.58,49.79,6.26
4/2/2020,9:30:00,Lettuce,1.67,26.22,24.46,42.68,6.41
4/2/2020,12:00:00,Lettuce,4.06,30.76,20.61,45.18,5.69
4/2/2020,14:30:00,Lettuce,3.27,26.03,15.13,45.16,5.76
4/2/2020,16:45:00,Lettuce,1.56,26.62,22.33,41.71,6.45
4/2/2020,19:15:00,Lettuce,0.61,25.07,21.14,42.87,6.23
5/2/2020,7:15:00,Lettuce,0.47,27.68,22.91,40.64,5.09
5/2/2020,9:30:00,Lettuce,2.11,26.78,29.69,46.5,5.07
5/2/2020,12:00:00,Lettuce,3.94,28.92,29.03,46.41,6.41
5/2/2020,14:30:00,Lettuce,3.61,31.53,14.61,44.86,5.95
5/2/2020,16:45:00,Lettuce,1.2,28.93,25.64,42.01,6.87
5/2/2020,19:15:00,Lettuce,0.25,30.36,23.76,47.19,5.83
6/2/2020,7:15:00,Lettuce,0.31,30.6,14.66,44.89,5.75
6/2/2020,9:30:00,Lettuce,1.96,30.03,12.69,40.34,5.91
6/2/2020,12:00:00,Lettuce,4.64,29.72,24.76,43.22,6.86
6/2/2020,14:30:00,Lettuce,3.64,31.35,14.78,42.52,5.86
6/2/2020,16:45:00,Lettuce,1.22,29.61,10.54,41.7,6.87
6/2/2020,19:15:00,Lettuce,0.23,28.24,11.43,44.77,5.5
7/2/2020,7:15:00,Lettuce,0.66,28.67,17.24,50.11,5.55
7/2/2020,9:30:00,Lettuce,1.75,31.03,14.28,43.54,5.15
7/2/2020,12:00:00,Lettuce,3.33,27.85,26.92,43.05,6.19
7/2/2020,14:30:00,Lettuce,2.78,28.91,21.47,42.81,6.64
7/2/2020,16:45:00,Lettuce,0.88,30.63,24.09,39.29,5.31
7/2/2020,19:15:00,Lettuce,0.4,27.16,27.17,41.19,5.17
8/2/2020,7:15:00,Lettuce,0.33,25.47,27.86,48.16,6.36
8/2/2020,9:30:00,Lettuce,2.33,29.6,19.16,46.81,5.88
8/2/2020,12:00:00,Lettuce,4.59,29.88,13.61,50,5.48
8/2/2020,14:30:00,Lettuce,3.08,23.95,29.45,41.87,6.46
8/2/2020,16:45:00,Lettuce,1.33,25.82,12.32,41.42,6.94
8/2/2020,19:15:00,Lettuce,0.3,24.78,18.96,46.48,5.23
9/2/2020,7:15:00,Lettuce,0.66,24.3,20.78,48.85,5.66
9/2/2020,9:30:00,Lettuce,1.91,26.22,11.42,43.48,5.32
9/2/2020,12:00:00,Lettuce,3.37,28.03,19.05,50.85,5.25
9/2/2020,14:30:00,Lettuce,2.46,24.83,14.85,43.86,5.33
9/2/2020,16:45:00,Lettuce,0.8,26.9,17.09,37.8,5.9
9/2/2020,19:15:00,Lettuce,0.38,23.79,21.89,48.22,6.34
10/2/2020,7:15:00,Lettuce,0.31,25.71,19.25,40.45,6.31
10/2/2020,9:30:00,Lettuce,1.41,29.86,21.78,44.37,5.35
10/2/2020,12:00:00,Lettuce,4.02,31.31,29.27,39.77,5.46
10/2/2020,14:30:00,Lettuce,3.12,31.17,24.7,49.32,6.92
10/2/2020,16:45:00,Lettuce,1.46,24.44,19.68,45.97,6.75
10/2/2020,19:15:00,Lettuce,0.38,25.77,20.18,44.29,5.15
11/2/2020,7:15:00,Lettuce,0.67,27.48,22.5,42.55,6.29
11/2/2020,9:30:00,Lettuce,1.41,26.37,11.66,36.93,5.18
11/2/2020,12:00:00,Lettuce,3.32,30.88,18.69,45.54,6.61
11/2/2020,14:30:00,Lettuce,2.85,24.69,23.61,47.94,6.68
11/2/2020,16:45:00,Lettuce,1.76,25.7,13.21,39.01,6.8
11/2/2020,19:15:00,Lettuce,0.39,24.01,18.24,46.08,6.53
12/2/2020,7:15:00,Lettuce,0.27,31.35,24.49,41.41,6.36
12/2/2020,9:30:00,Lettuce,1.68,31.48,23.59,47.73,6.11
12/2/2020,12:00:00,Lettuce,4.05,27.51,21.98,41.35,6.61
12/2/2020,14:30:00,Lettuce,3.7,26.41,27.56,43.71,5.48
12/2/2020,16:45:00,Lettuce,1.06,30.54,27.23,40.36,6.54
12/2/2020,19:15:00,Lettuce,0.52,29.93,17.03,46.4,6.16
13/2/2020,7:15:00,Lettuce,0.37,31,28.62,48.99,5.02
13/2/2020,9:30:00,Lettuce,2.16,27.26,29.25,52.27,6.67
13/2/2020,12:00:00,Lettuce,3.62,29.78,18.75,45.7,6.8
13/2/2020,14:30:00,Lettuce,2.46,30.05,19.08,39.48,5.66
13/2/2020,16:45:00,Lettuce,1.88,29,10.47,41.58,6.21
13/2/2020,19:15:00,Lettuce,0.48,23.4,10.69,43.02,5.59
14/2/2020,7:15:00,Lettuce,0.78,25.25,17.52,39.19,6.08
14/2/2020,9:30:00,Lettuce,1.28,24.77,10.26,41.34,5.96
14/2/2020,12:00:00,Lettuce,4.65,23.16,14.26,44.02,5.3
14/2/2020,14:30:00,Lettuce,2.84,24,16.55,46.63,6.03
14/2/2020,16:45:00,Lettuce,1.61,24.16,28.58,43.34,5.27
14/2/2020,19:15:00,Lettuce,0.28,29.01,18.42,44.64,5.32
15/2/2020,7:15:00,Lettuce,0.42,23.68,20.72,48.67,5.65
15/2/2020,9:30:00,Lettuce,1.63,28.69,10.9,44.18,6.98
15/2/2020,12:00:00,Lettuce,4.69,24.92,19.84,36.43,6.18
15/2/2020,14:30:00,Lettuce,2.84,31.48,24.54,48.3,6.85
15/2/2020,16:45:00,Lettuce,1.29,28.22,27.43,45.34,6.19
15/2/2020,19:15:00,Lettuce,0.2,26.71,10.57,46.94,5.3
16/2/2020,7:15:00,Lettuce,0.33,30.37,13.9,43.97,6.01
16/2/2020,9:30:00,Lettuce,2.36,24.87,27.4,49.89,5.5
16/2/2020,12:00:00,Lettuce,4.11,27.38,26.95,44.08,6.59
16/2/2020,14:30:00,Lettuce,2.63,31.88,23.94,42.55,5.24
16/2/2020,16:45:00,Lettuce,1.09,25.43,15.56,44.01,5.74
16/2/2020,19:15:00,Lettuce,0.19,29.07,28.73,43.24,5.29
17/2/2020,7:15:00,Lettuce,0.26,31.34,10.75,45.03,5.01
17/2/2020,9:30:00,Lettuce,2.36,24.07,10.35,42.16,6.53
17/2/2020,12:00:00,Lettuce,3.28,31.73,18.53,48.6,6.69
17/2/2020,14:30:00,Lettuce,3.06,27.89,24.07,49.73,6.07
17/2/2020,16:45:00,Lettuce,1.27,28.57,28.88,46.04,5.16
17/2/2020,19:15:00,Lettuce,0.41,28.31,25.07,43.71,5.05
18/2/2020,7:15:00,Lettuce,0.77,25.8,13.26,44.02,5.66
18/2/2020,9:30:00,Lettuce,1.9,24.79,21.49,43.54,5.19
18/2/2020,12:00:00,Lettuce,3.98,31.89,17.47,46.94,5.48
18/2/2020,14:30:00,Lettuce,3.67,23.59,21.28,43.15,5.86
18/2/2020,16:45:00,Lettuce,1.58,27.52,21.04,43.09,6.13
18/2/2020,19:15:00,Lettuce,0.64,30.2,15.12,42.31,5.8
19/2/2020,7:15:00,Lettuce,0.76,25.01,23.4,44.02,5.1
19/2/2020,9:30:00,Lettuce,2.21,27.13,25.21,39.49,6.99
19/2/2020,12:00:00,Lettuce,3.67,24.79,28.89,45.89,6.33
19/2/2020,14:30:00,Lettuce,3.89,26.16,15.93,42.15,5.57
19/2/2020,16:45:00,Lettuce,1.01,31.38,26.94,50.62,6.66
19/2/2020,19:15:00,Lettuce,0.2,29.57,25.2,45.22,6.89
20/2/2020,7:15:00,Lettuce,0.76,26.39,15.86,40.86,5.84
20/2/2020,9:30:00,Lettuce,1.48,25.46,10.81,42.36,6.98
20/2/2020,12:00:00,Lettuce,3.7,24.52,13.58,44.41,5.16
20/2/2020,14:30:00,Lettuce,2.98,23.09,26.04,44.06,5.4
20/2/2020,16:45:00,Lettuce,1.84,29.38,29.95,43.6,5.61
20/2/2020,19:15:00,Lettuce,0.63,26.44,10.21,40.51,5.43
21/2/2020,7:15:00,Lettuce,0.36,30.96,18.07,47.02,6.1
21/2/2020,9:30:00,Lettuce,1.48,30.9,19.36,44.18,6.32
21/2/2020,12:00:00,Lettuce,4.19,25.53,23.69,43.99,6.84
21/2/2020,14:30:00,Lettuce,2.63,25.72,12.36,47.91,5.56
21/2/2020,16:45:00,Lettuce,1.45,25.92,20.41,44.24,5.4
21/2/2020,19:15:00,Lettuce,0.45,28.03,10.92,46.28,6.25
22/2/2020,7:15:00,Lettuce,0.39,27.87,20.8,42.43,6.16
22/2/2020,9:30:00,Lettuce,1.52,31.97,10.42,41.3,6.28
22/2/2020,12:00:00,Lettuce,4.69,24.65,26.2,44.17,6.27
22/2/2020,14:30:00,Lettuce,3.55,28,15.53,41.4,6.16
22/2/2020,16:45:00,Lettuce,0.87,31.08,23.84,44.86,5.26
22/2/2020,19:15:00,Lettuce,0.25,26.33,22.61,48.42,5.41
23/2/2020,7:15:00,Lettuce,0.48,23.35,27.55,51.86,5.01
23/2/2020,9:30:00,Lettuce,1.68,23.07,14.76,44.43,5.33
23/2/2020,12:00:00,Lettuce,3.32,30.56,16.78,44.11,5.82
23/2/2020,14:30:00,Lettuce,3.41,31.38,11.73,47.97,6.74
23/2/2020,16:45:00,Lettuce,1.05,24.93,11.93,42.45,5.94
23/2/2020,19:15:00,Lettuce,0.41,25.06,22.97,51.02,5.18
24/2/2020,7:15:00,Lettuce,0.72,30.71,21.27,38.87,6.61
24/2/2020,9:30:00,Lettuce,2.05,28.15,23.9,41.11,6.5
24/2/2020,12:00:00,Lettuce,4.78,23.68,18.28,48,6.84
24/2/2020,14:30:00,Lettuce,3.72,24.1,24.67,44.2,6.74
24/2/2020,16:45:00,Lettuce,1.79,23.02,27.48,38.89,5.13
24/2/2020,19:15:00,Lettuce,0.41,30.38,10.83,47.96,6.4
25/2/2020,7:15:00,Lettuce,0.69,29.93,20.2,47.3,5.95
25/2/2020,9:30:00,Lettuce,1.83,25.96,16.21,49.4,5.96
25/2/2020,12:00:00,Lettuce,4.03,29.22,20.93,43.05,6.41
25/2/2020,14:30:00,Lettuce,3.25,24.72,10.33,43.55,6.47
25/2/2020,16:45:00,Lettuce,0.83,30.84,18.28,44.45,5.82
25/2/2020,19:15:00,Lettuce,0.41,24.76,23.17,50.67,5.11
26/2/2020,7:15:00,Lettuce,0.53,28.9,15.31,40.28,6.99
26/2/2020,9:30:00,Lettuce,2.27,31.99,17.71,42.98,5
26/2/2020,12:00:00,Lettuce,4.76,29.68,23.73,45.91,6.52
26/2/2020,14:30:00,Lettuce,3.95,23.19,23.02,41.88,6.37
26/2/2020,16:45:00,Lettuce,1.59,28.53,14.05,40.31,5.94
26/2/2020,19:15:00,Lettuce,0.62,28.82,10.57,48.3,6.37
27/2/2020,7:15:00,Lettuce,0.78,24.45,28.38,43.48,6.76
27/2/2020,9:30:00,Lettuce,1.58,27.23,28.26,46.78,5.26
27/2/2020,12:00:00,Lettuce,3.21,28.23,25.79,46.46,6.08
27/2/2020,14:30:00,Lettuce,3.76,28.53,12.1,51.57,6.52
27/2/2020,16:45:00,Lettuce,1.22,24.59,29.66,45.57,5.32
27/2/2020,19:15:00,Lettuce,0.2,28.07,18.85,41.91,6.44
28/2/2020,7:15:00,Lettuce,0.72,27.54,25.7,40.88,5.56
28/2/2020,9:30:00,Lettuce,1.32,25.71,14.54,49.74,5.56
28/2/2020,12:00:00,Lettuce,3.74,29.09,27.61,41.98,6.79
28/2/2020,14:30:00,Lettuce,3.32,23.85,16.59,50.5,5.37
28/2/2020,16:45:00,Lettuce,1.39,26.82,11.03,37.11,5.12
28/2/2020,19:15:00,Lettuce,0.32,23.43,14.82,47.69,6.57
29/2/2020,7:15:00,Lettuce,0.62,24.73,15.51,44.78,5.79
29/2/2020,9:30:00,Lettuce,1.66,26.18,23.98,50.12,6.81
